"Rnd","Dato","TV","Kamp","hjemme","ude","Res","Tilskuere","Dommer","Dato_num","dag","måned","år_start","år_slut","år","match_date","sæson","kickoff","holiday_name","is_holiday","weekday_num","dagstype","kickoff_hour","kamp_tid","regn_1h_for","regn_dag","temp_kamp","vind_1h","vindstød_1h","skydække_kamp","regn_1h_kat","regn_dag_kat","temp_kamp_kat","vind_1h_kat","vindstød_1h_kat","skydække_kamp_kat","dato_index"
26,23.04,NA,"VFF - FCN","VFF","FCN","1 - 0",5.966,"JÃ¸rgen Daugbjerg",23.04,23,4,2022,2023,2023,2023-04-23,"2022/2023",2023-04-23 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,12.8142857142857,4.6,8.2,66.4285714285714,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Let overskyet",2023-04-23
27,30.04,NA,"VFF - RFC","VFF","RFC","3 - 1",6.542,"Jonas Hansen",30.04,30,4,2022,2023,2023,2023-04-30,"2022/2023",2023-04-30 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,8.68571428571429,5.1,9.25,90,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2023-04-30
30,21.05,NA,"VFF - BIF","VFF","BIF","1 - 1",9.342,"Peter KjÃ¦rsgaard",21.05,21,5,2022,2023,2023,2023-05-21,"2022/2023",2023-05-21 16:05:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,21.4166666666667,4.6,8.8,52.5,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Let overskyet",2023-05-21
31,29.05,NA,"VFF - FCK","VFF","FCK","1 - 2",9.523,"Morten Krogh",29.05,29,5,2022,2023,2023,2023-05-29,"2022/2023",2023-05-29 16:00:00,"2. Pinsedag",TRUE,1,"Hverdag",16,"Eftermiddag",0,0,14.1142857142857,7.2,11.05,0,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Solrigt",2023-05-29
3,31.07,NA,"VFF - FCM","VFF","FCM","0 - 2",4.038,"Anders Poulsen",31.07,31,7,2021,2022,2021,2021-07-31,"2021/2022",2021-07-31 16:00:00,"Ingen",FALSE,6,"Weekend",16,"Eftermiddag",1,3.4,16.2428571428571,3.6,6.95,91.4285714285714,"Let regn før kamp","Lidt regn i løbet af dag","Mildt","Svag vind","Let vindstød","Overskyet",2021-07-31
5,13.08,NA,"VFF - RFC","VFF","RFC","1 - 2",5.085,"Aydin Uslu",13.08,13,8,2021,2022,2021,2021-08-13,"2021/2022",2021-08-13 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,18.9,7.45,11.85,90,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Overskyet",2021-08-13
6,22.08,NA,"VFF - AGF","VFF","AGF","2 - 0",5.422,"Michael Tykgaard",22.08,22,8,2021,2022,2021,2021-08-22,"2021/2022",2021-08-22 18:00:00,"Ingen",FALSE,7,"Weekend",18,"Aften",0,0,20.3571428571429,4.1,7.45,0,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Let vindstød","Solrigt",2021-08-22
8,12.09,NA,"VFF - AaB","VFF","AaB","2 - 3",6.014,"Peter KjÃ¦rsgaard",12.09,12,9,2021,2022,2021,2021-09-12,"2021/2022",2021-09-12 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,18.5571428571429,7.95,12.4,61.4285714285714,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Let overskyet",2021-09-12
10,26.09,NA,"VFF - OB","VFF","OB","1 - 1",3.963,"Jakob Kehlet",26.09,26,9,2021,2022,2021,2021-09-26,"2021/2022",2021-09-26 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,18.4571428571429,3.85,6.7,30.7142857142857,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Let overskyet",2021-09-26
12,15.1,NA,"VFF - SIF","VFF","SIF","1 - 1",5.286,"Peter KjÃ¦rsgaard",15.1,15,10,2021,2022,2021,2021-10-15,"2021/2022",2021-10-15 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,9.14285714285714,8.25,13.9,46.4285714285714,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Let overskyet",2021-10-15
14,31.1,NA,"VFF - BIF","VFF","BIF","0 - 1",7.724,"JÃ¸rgen Daugbjerg",31.1,31,10,2021,2022,2021,2021-10-31,"2021/2022",2021-10-31 18:00:00,"Ingen",FALSE,7,"Weekend",18,"Aften",0,0,10.2571428571429,4.6,8.5,94.2857142857143,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2021-10-31
15,5.11,NA,"VFF - FCN","VFF","FCN","2 - 2",3.899,"Peter KjÃ¦rsgaard",5.11,5,11,2021,2022,2021,2021-11-05,"2021/2022",2021-11-05 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,8.64285714285714,4.85,8,72.1428571428571,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2021-11-05
17,28.11,NA,"VFF - SJF","VFF","SJF","1 - 1",4.031,"Anders Poulsen",28.11,28,11,2021,2022,2021,2021-11-28,"2021/2022",2021-11-28 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,2.47142857142857,1,2.35,100,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Overskyet",2021-11-28
19,27.02,NA,"VFF - FCK","VFF","FCK","0 - 2",7.025,"Jakob Kehlet",27.02,27,2,2021,2022,2022,2022-02-27,"2021/2022",2022-02-27 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,6.94285714285714,3.6,6.45,0,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Solrigt",2022-02-27
21,13.03,NA,"VFF - VB","VFF","VB","2 - 0",4.227,"Mikkel Redder",13.03,13,3,2021,2022,2022,2022-03-13,"2021/2022",2022-03-13 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,10,6.45,10.55,0,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Solrigt",2022-03-13
23,1.04,NA,"VFF - SJF","VFF","SJF","2 - 1",3.093,"JÃ¸rgen Daugbjerg",1.04,1,4,2021,2022,2022,2022-04-01,"2021/2022",2022-04-01 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,3.45714285714286,5.15,8.8,40.7142857142857,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Let overskyet",2022-04-01
26,17.04,NA,"VFF - OB","VFF","OB","1 - 1",3.857,"Aydin Uslu",17.04,17,4,2021,2022,2022,2022-04-17,"2021/2022",2022-04-17 18:00:00,"Påskedag",TRUE,7,"Weekend",18,"Aften",0,0,15.5285714285714,1.25,4.6,0,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Solrigt",2022-04-17
