rnd,dato,kamp,res,tilskuere,dommer,season,modstander,mean_tilskuere,kategori,mean_tilskuere_saeson,vff_mal,modstander_mal,vff_mal_kampen_foer,saeson,runde,tilskuere_1,ar,hold,d10_tilskuere,d7_tilskuere,d3_tilskuere,kort,langt,navn,stadion,sponsor_stadion_navn,tilskuere_2,rnd_1,dato_1,kamp_1,hjemme,ude,res_1,tilskuere_3,dommer_1,dato_num,dag,maned,ar_start,ar_slut,ar_1,match_date,saeson_1,kickoff,holiday_name,is_holiday,weekday_num,dagstype,kickoff_hour,kamp_tid,regn_1h_for,regn_dag,temp_kamp,vind_1h,vindstod_1h,skydaekke_kamp,regn_1h_kat,regn_dag_kat,temp_kamp_kat,vind_1h_kat,vindstod_1h_kat,skydaekke_kamp_kat,dato_index,vff_maal_from_res,modstander_maal_from_res
26,1996-04-21,VFF - AaB,0-2,4328,Peter Mikkelsen,1995/1996,AaB,4740.379310344828,A,2689,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
29,1996-05-08,VFF - AGF,0-0,4852,JÃ¸rn West Larsen,1995/1996,AGF,4917.59375,A,2689,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
30,1996-05-12,VFF - NBK,6-2,1702,Finn Lambek,1995/1996,NBK,1961.3333333333333,D,2689,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NBK,Næstved BK,Næstved Boldklub,Næstved Stadion,MTM Service Park),10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2
32,1996-05-23,VFF - SIF,2-1,2845,Anders Mosegaard,1995/1996,SIF,3875.1538461538466,B,2689,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
2,1996-07-31,VFF - AaB,0-5,3198,Claus Bo Larsen,1996/1997,AaB,4740.379310344828,A,2747.8125,0,5,2,NA,NA,NA,NA,NA,NA,NA,NA,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5
4,1996-08-11,VFF - SIF,3-1,2039,Kim Milton Nielsen,1996/1997,SIF,3875.1538461538466,B,2747.8125,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
7,1996-09-08,VFF - AB,1-1,1481,Knud Erik Fisker,1996/1997,AB,2281.75,D,2747.8125,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
9,1996-09-20,VFF - BIF,0-1,6273,Kim Milton Nielsen,1996/1997,BIF,6615.142857142857,A,2747.8125,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
11,1996-10-04,VFF - AGF,2-5,4730,Knud Erik Fisker,1996/1997,AGF,4917.59375,A,2747.8125,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5
12,1996-10-13,VFF - HIF,1-1,1463,Steen Pedersen,1996/1997,HIF,4336.333333333333,B,2747.8125,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,HIF,Hvidovre IF,Hvidovre Idrætsforening,Hvidovre Stadion,Pro Ventilation Arena,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
