rnd,dato,kamp,res,tilskuere,dommer,season,modstander,mean_tilskuere,kategori,mean_tilskuere_saeson,vff_mal,modstander_mal,vff_mal_kampen_foer,saeson,runde,tilskuere_1,ar,hold,d10_tilskuere,d7_tilskuere,d3_tilskuere,kort,langt,navn,stadion,sponsor_stadion_navn,tilskuere_2,rnd_1,dato_1,kamp_1,hjemme,ude,res_1,tilskuere_3,dommer_1,dato_num,dag,maned,ar_start,ar_slut,ar_1,match_date,saeson_1,kickoff,holiday_name,is_holiday,weekday_num,dagstype,kickoff_hour,kamp_tid,regn_1h_for,regn_dag,temp_kamp,vind_1h,vindstod_1h,skydaekke_kamp,regn_1h_kat,regn_dag_kat,temp_kamp_kat,vind_1h_kat,vindstod_1h_kat,skydaekke_kamp_kat,dato_index,vff_maal_from_res,modstander_maal_from_res
18,2001-12-02,VFF - FCM,2-1,1594,Claus Bo Larsen,2001/2002,FCM,5296.0526315789475,A,2409.9411764705883,2,1,1,2001/2002,18,1594,2001,VFF-FCM,696,1032,1393,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
20,2002-03-04,VFF - AaB,0-1,3185,Anders Mosegaard,2001/2002,AaB,4740.379310344828,A,2409.9411764705883,0,1,2,2001/2002,20,3185,2002,VFF-AaB,1144,2368,2877,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
22,2002-03-17,VFF - AGF,0-0,3160,Steen Pedersen,2001/2002,AGF,4917.59375,A,2409.9411764705883,0,0,0,2001/2002,22,3160,2002,VFF-AGF,1497,1877,2788,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
24,2002-04-01,VFF - FCK,0-2,3720,Knud Stadsgaard,2001/2002,FCK,5108.321428571429,A,2409.9411764705883,0,2,0,2001/2002,24,3720,2002,VFF-FCK,1552,1990,3107,FCK,FC København,Football Club København,Parken,Parken,38065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
26,2002-04-10,VFF - SIF,3-2,2867,Michael Svendsen,2001/2002,SIF,3875.1538461538466,B,2409.9411764705883,3,2,0,2001/2002,26,2867,2002,VFF-SIF,1357,1846,2463,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
28,2002-04-21,VFF - VB,4-1,3162,Kim Milton Nielsen,2001/2002,VB,3865.8,B,2409.9411764705883,4,1,3,2001/2002,28,3162,2002,VFF- VB,1537,1897,2856,VB,Vejle B,Vejle Boldklub,Vejle Stadion,Vejle Stadion,11060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1
30,2002-05-01,VFF - BIF,1-1,6031,Anders Mosegaard,2001/2002,BIF,6615.142857142857,A,2409.9411764705883,1,1,4,2001/2002,30,6031,2002,VFF-BIF,3035,3931,4846,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
32,2002-05-12,VFF - AB,2-1,2089,Emil Laursen,2001/2002,AB,2281.75,D,2409.9411764705883,2,1,1,2001/2002,32,2089,2002,VFF- AB,874,1241,1812,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
3,2002-08-11,VFF - FCM,1-1,3006,Claus Bo Larsen,2002/2003,FCM,5296.0526315789475,A,4123.25,1,1,2,2002/2003,3,3006,2002,VFF-FCM,1431,2201,2559,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5,2002-08-25,VFF - AaB,2-2,3379,Steen Pedersen,2002/2003,AaB,4740.379310344828,A,4123.25,2,2,1,2002/2003,5,3379,2002,VFF-AaB,1222,2115,2995,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
6,2002-09-01,VFF - AB,2-1,2443,Anders Mosegaard,2002/2003,AB,2281.75,D,4123.25,2,1,2,2002/2003,6,2443,2002,VFF- AB,1001,1489,2155,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
8,2002-09-15,VFF - EFB,6-0,3274,Johnny RÃ¸n,2002/2003,EFB,3417.842105263158,C,4123.25,6,0,2,2002/2003,8,3274,2002,VFF-EFB,1330,2042,2838,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
9,2002-09-22,VFF - KBK,1-4,3062,Claus Bo Larsen,2002/2003,KBK,2957,D,4123.25,1,4,6,2002/2003,9,3062,2002,VFF-KBK,998,2054,2778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
12,2002-10-20,VFF - OB,0-0,2594,Knud Erik Fisker,2002/2003,OB,3524.217391304348,C,4123.25,0,0,1,2002/2003,12,2594,2002,VFF- OB,1172,1649,2087,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
13,2002-10-26,VFF - FCK,0-3,8216,Knud Stadsgaard,2002/2003,FCK,5108.321428571429,A,4123.25,0,3,0,2002/2003,13,8216,2002,VFF-FCK,3785,4579,7292,FCK,FC København,Football Club København,Parken,Parken,38065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3
15,2002-11-09,VFF - AaB,1-3,1908,Michael Svendsen,2002/2003,AaB,4740.379310344828,A,4123.25,1,3,0,2002/2003,15,1908,2002,VFF-AaB,823,1204,1532,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
17,2002-11-24,VFF - EFB,4-1,2018,Steen Pedersen,2002/2003,EFB,3417.842105263158,C,4123.25,4,1,1,2002/2003,17,2018,2002,VFF-EFB,987,1344,1768,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1
20,2003-03-26,VFF - FCN,1-3,5553,Steen Knudsen,2002/2003,FCN,4216.444444444444,B,4123.25,1,3,4,2002/2003,20,5553,2003,VFF-FCN,2292,3517,4773,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
22,2003-04-13,VFF - SIF,0-0,5877,Anders Mosegaard,2002/2003,SIF,3875.1538461538466,B,4123.25,0,0,1,2002/2003,22,5877,2003,VFF-SIF,2231,3908,5227,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
23,2003-04-17,VFF - FCM,0-0,2782,Kim Milton Nielsen,2002/2003,FCM,5296.0526315789475,A,4123.25,0,0,0,2002/2003,23,2782,2003,VFF-FCM,1314,1738,2390,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
25,2003-04-27,VFF - AGF,0-0,7763,Emil Laursen,2002/2003,AGF,4917.59375,A,4123.25,0,0,0,2002/2003,25,7763,2003,VFF-AGF,3170,4882,6236,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
27,2003-05-11,VFF - AB,3-0,2582,Claus Bo Larsen,2002/2003,AB,2281.75,D,4123.25,3,0,0,2002/2003,27,2582,2003,VFF- AB,1354,1687,2035,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
30,2003-06-01,VFF - BIF,1-1,8663,Knud Stadsgaard,2002/2003,BIF,6615.142857142857,A,4123.25,1,1,3,2002/2003,30,8663,2003,VFF-BIF,3707,5863,7580,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
32,2003-06-18,VFF - KBK,6-1,2852,Anders Mosegaard,2002/2003,KBK,2957,D,4123.25,6,1,1,2002/2003,32,2852,2003,VFF-KBK,1379,1639,2436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1
2,2003-08-03,VFF - EFB,1-1,3352,Johnny RÃ¸n,2003/2004,EFB,3417.842105263158,C,4539.5625,1,1,6,2003/2004,2,3352,2003,VFF-EFB,1564,2111,2806,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,2,3.08,VFF - EFB,VFF,EFB,1 - 1,3.352,Johnny RÃ¸n,3.08,3,8,2003,2004,2003,12267,2003/2004,1059915600,Ingen,0,7,Weekend,15,Eftermiddag,0,0,21.07142857142857,3.3499999999999996,NA,75,Ingen regn før kamp,Tør dag,Varmt,Svag vind,NA,Overskyet,03/08/2003,1,1
4,2003-08-17,VFF - BIF,2-2,6213,Thomas Vejlgaard,2003/2004,BIF,6615.142857142857,A,4539.5625,2,2,1,2003/2004,4,6213,2003,VFF-BIF,2546,3903,5256,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,4,17.08,VFF - BIF,VFF,BIF,2 - 2,6.213,Thomas Vejlgaard,17.08,17,8,2003,2004,2003,12281,2003/2004,1061125200,Ingen,0,7,Weekend,15,Eftermiddag,0,0,21.514285714285716,2.35,NA,40,Ingen regn før kamp,Tør dag,Varmt,Svag vind,NA,Let overskyet,17/08/2003,2,2
5,2003-08-24,VFF - AGF,1-0,6614,Knud Erik Fisker,2003/2004,AGF,4917.59375,A,4539.5625,1,0,2,2003/2004,5,6614,2003,VFF-AGF,3513,3948,5515,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,5,24.08,VFF - AGF,VFF,AGF,1 - 0,6.614,Knud Erik Fisker,24.08,24,8,2003,2004,2003,12288,2003/2004,1061730000,Ingen,0,7,Weekend,15,Eftermiddag,0,0,23.228571428571428,2.35,NA,25,Ingen regn før kamp,Tør dag,Varmt,Svag vind,NA,Solrigt,24/08/2003,1,0
8,2003-09-17,VFF - FCK,2-2,5705,Michael Svendsen,2003/2004,FCK,5108.321428571429,A,4539.5625,2,2,1,2003/2004,8,5705,2003,VFF-FCK,2756,3333,4856,FCK,FC København,Football Club København,Parken,Parken,38065,8,17.09,VFF - FCK,VFF,FCK,2 - 2,5.705,Michael Svendsen,17.09,17,9,2003,2004,2003,12312,2003/2004,1063816200,Ingen,0,3,Hverdag,18,Aften,0,0,19.914285714285715,4.1,7.6,NA,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Let vindstød,NA,17/09/2003,2,2
11,2003-10-05,VFF - AaB,2-3,5349,Kim Milton Nielsen,2003/2004,AaB,4740.379310344828,A,4539.5625,2,3,2,2003/2004,11,5349,2003,VFF-AaB,2432,3224,4413,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,11,5.1,VFF - AaB,VFF,AaB,2 - 3,5.349,Kim Milton Nielsen,5.1,5,10,2003,2004,2003,12330,2003/2004,1065358800,Ingen,0,7,Weekend,15,Eftermiddag,0,0,10.971428571428572,6.45,11.350000000000001,60,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Let overskyet,05/10/2003,2,3
12,2003-10-19,VFF - EFB,1-2,3204,Peter Rasmussen,2003/2004,EFB,3417.842105263158,C,4539.5625,1,2,2,2003/2004,12,3204,2003,VFF-EFB,1487,2109,2529,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,12,19.1,VFF - EFB,VFF,EFB,1 - 2,3.204,Peter Rasmussen,19.1,19,10,2003,2004,2003,12344,2003/2004,1066568400,Ingen,0,7,Weekend,15,Eftermiddag,1.4000000000000001,4.4,5.6571428571428575,4.85,7.85,100,Let regn før kamp,Lidt regn i løbet af dag,Koldt,Mellem vind,Let vindstød,Overskyet,19/10/2003,1,2
14,2003-10-26,VFF - AGF,4-0,4310,Claus Bo Larsen,2003/2004,AGF,4917.59375,A,4539.5625,4,0,1,2003/2004,14,4310,2003,VFF-AGF,2090,2640,3660,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,14,26.1,VFF - AGF,VFF,AGF,4 - 0,4.31,Claus Bo Larsen,26.1,26,10,2003,2004,2003,12351,2003/2004,1067176800,Ingen,0,7,Weekend,15,Eftermiddag,0,0,4.428571428571429,3.35,6,0,Ingen regn før kamp,Tør dag,Koldt,Svag vind,Let vindstød,Solrigt,26/10/2003,4,0
17,2003-11-09,VFF - BKF,0-0,3092,Knud Erik Fisker,2003/2004,BKF,3092,C,4539.5625,0,0,4,2003/2004,17,3092,2003,VFF-BKF,1406,1842,2758,BKF,BK Frem,Boldklubben Frem af 1886,Valby Idrætspark,Valby Idrætspark,12000,17,9.11,VFF - BKF,VFF,BKF,0 - 0,3.092,Knud Erik Fisker,9.11,9,11,2003,2004,2003,12365,2003/2004,1068386400,Ingen,0,7,Weekend,15,Eftermiddag,0,0,7.257142857142857,5.95,11.4,95.71428571428571,Ingen regn før kamp,Tør dag,Koldt,Mellem vind,Mellem vindstød,Overskyet,09/11/2003,0,0
19,2003-11-30,VFF - FCK,0-2,4980,Emil Laursen,2003/2004,FCK,5108.321428571429,A,4539.5625,0,2,0,2003/2004,19,4980,2003,VFF-FCK,1475,3182,4583,FCK,FC København,Football Club København,Parken,Parken,38065,19,30.11,VFF - FCK,VFF,FCK,0 - 2,4.98,Emil Laursen,30.11,30,11,2003,2004,2003,12386,2003/2004,1070200800,Ingen,0,7,Weekend,15,Eftermiddag,1,1.2,6.928571428571429,3.1,8.4,90,Let regn før kamp,Lidt regn i løbet af dag,Koldt,Svag vind,Mellem vindstød,Overskyet,30/11/2003,0,2
21,2004-03-14,VFF - FCN,0-0,2933,Peter Rasmussen,2003/2004,FCN,4216.444444444444,B,4539.5625,0,0,0,2003/2004,21,2933,2004,VFF-FCN,1363,1686,2512,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,21,14.03,VFF - FCN,VFF,FCN,0 - 0,2.933,Peter Rasmussen,14.03,14,3,2003,2004,2004,12491,2003/2004,1079272800,Ingen,0,7,Weekend,15,Eftermiddag,0.4,0.6000000000000001,6.9714285714285715,6.7,12.75,91.42857142857143,Let regn før kamp,Lidt regn i løbet af dag,Koldt,Mellem vind,Mellem vindstød,Overskyet,14/03/2004,0,0
24,2004-04-04,VFF - FCM,1-1,4419,Tonny K. Poulsen,2003/2004,FCM,5296.0526315789475,A,4539.5625,1,1,0,2003/2004,24,4419,2004,VFF-FCM,1905,3001,3773,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,24,4.04,VFF - FCM,VFF,FCM,1 - 1,4.419,Tonny K. Poulsen,4.04,4,4,2003,2004,2004,12512,2003/2004,1081083600,Ingen,0,7,Weekend,15,Eftermiddag,0,6,7.771428571428571,8.2,16.25,94.28571428571429,Ingen regn før kamp,Våd dag,Koldt,Mellem vind,Kraftige vindstød,Overskyet,04/04/2004,1,1
26,2004-04-18,VFF - HER,2-0,3371,Knud Erik Fisker,2003/2004,HER,2186.75,D,4539.5625,2,0,1,2003/2004,26,3371,2004,VFF-HER,1549,2054,2997,HER,Herfølge BK,Herfølge Boldklub,Herfølge Stadion,Herfølge Stadion,8000,26,18.04,VFF - HER,VFF,HER,2 - 0,3.371,Knud Erik Fisker,18.04,18,4,2003,2004,2004,12526,2003/2004,1082293200,Ingen,0,7,Weekend,15,Eftermiddag,0,0,13.471428571428572,6.7,12.7,78.57142857142857,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,18/04/2004,2,0
27,2004-04-24,VFF - BIF,3-2,7873,Steen Knudsen,2003/2004,BIF,6615.142857142857,A,4539.5625,3,2,2,2003/2004,27,7873,2004,VFF-BIF,3779,5040,6758,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,27,24.04,VFF - BIF,VFF,BIF,3 - 2,7.873,Steen Knudsen,24.04,24,4,2003,2004,2004,12532,2003/2004,1082818800,Ingen,0,6,Weekend,17,Aften,0,0,15.200000000000001,2.1,5.45,14.285714285714286,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,Solrigt,24/04/2004,3,2
29,2004-05-09,VFF - AaB,0-1,4545,Johnny RÃ¸n,2003/2004,AaB,4740.379310344828,A,4539.5625,0,1,3,2003/2004,29,4545,2004,VFF-AaB,2373,2881,3826,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,29,9.05,VFF - AaB,VFF,AaB,0 - 1,4.545,Johnny RÃ¸n,9.05,9,5,2003,2004,2004,12547,2003/2004,1084107600,Ingen,0,7,Weekend,15,Eftermiddag,0,0,21.95714285714286,3.6,9.75,9.285714285714286,Ingen regn før kamp,Tør dag,Varmt,Svag vind,Mellem vindstød,Solrigt,09/05/2004,0,1
31,2004-05-16,VFF - AB,0-2,2895,Tonny K. Poulsen,2003/2004,AB,2281.75,D,4539.5625,0,2,0,2003/2004,31,2895,2004,VFF-AB,1194,1828,2309,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,31,16.05,VFF - AB,VFF,AB,0 - 2,2.895,Tonny K. Poulsen,16.05,16,5,2003,2004,2004,12554,2003/2004,1084712400,Ingen,0,7,Weekend,15,Eftermiddag,0,0,15.114285714285714,9,14.899999999999999,34.285714285714285,Ingen regn før kamp,Tør dag,Mildt,Kraftig vind,Mellem vindstød,Let overskyet,16/05/2004,0,2
32,2004-05-23,VFF - OB,2-2,3778,Michael Svendsen,2003/2004,OB,3524.217391304348,C,4539.5625,2,2,0,2003/2004,32,3778,2004,VFF-OB,1953,2697,3074,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,32,23.05,VFF - OB,VFF,OB,2 - 2,3.778,Michael Svendsen,23.05,23,5,2003,2004,2004,12561,2003/2004,1085317200,Ingen,0,7,Weekend,15,Eftermiddag,0,0,12.485714285714286,7.45,13.5,1.4285714285714286,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Solrigt,23/05/2004,2,2
3,2004-08-07,VFF - FCK,3-2,4247,Knud Stadsgaard,2004/2005,FCK,5108.321428571429,A,5132.8125,3,2,2,2004/2005,3,4247,2004,VFF-FCK,1985,2522,3696,FCK,FC København,Football Club København,Parken,Parken,38065,3,7.08,VFF - FCK,VFF,FCK,3 - 2,4.247,Knud Stadsgaard,7.08,7,8,2004,2005,2004,12637,2004/2005,1091890800,Ingen,0,6,Weekend,17,Aften,0,0,28.642857142857142,6.2,11.100000000000001,7.142857142857143,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Solrigt,07/08/2004,3,2
6,2004-08-29,VFF - FCN,0-1,3441,Michael Svendsen,2004/2005,FCN,4216.444444444444,B,5132.8125,0,1,3,2004/2005,6,3441,2004,VFF-FCN,1711,2178,3070,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,6,29.08,VFF - FCN,VFF,FCN,0 - 1,3.441,Michael Svendsen,29.08,29,8,2004,2005,2004,12659,2004/2005,1093784400,Ingen,0,7,Weekend,15,Eftermiddag,0,0,17.614285714285714,5.4,10,94.28571428571429,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,29/08/2004,0,1
8,2004-09-19,VFF - RFC,0-1,5417,RenÃ© Christensen,2004/2005,RFC,5100.875,A,5132.8125,0,1,0,2004/2005,8,5417,2004,VFF-RFC,2639,3214,4392,RFC,Randers FC,Randers Football Club,Cepheus Park Randers,Cepheus Park Randers,10300,8,19.09,VFF - RFC,VFF,RFC,0 - 1,5.417,RenÃ© Christensen,19.09,19,9,2004,2005,2004,12680,2004/2005,1095598800,Ingen,0,7,Weekend,15,Eftermiddag,0,1.4,15.3,5.65,11.65,43.57142857142857,Ingen regn før kamp,Lidt regn i løbet af dag,Mildt,Mellem vind,Mellem vindstød,Let overskyet,19/09/2004,0,1
10,2004-09-26,VFF - EFB,2-0,4307,Johnny RÃ¸n,2004/2005,EFB,3417.842105263158,C,5132.8125,2,0,0,2004/2005,10,4307,2004,VFF-EFB,1707,2706,3661,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,10,26.09,VFF - EFB,VFF,EFB,2 - 0,4.307,Johnny RÃ¸n,26.09,26,9,2004,2005,2004,12687,2004/2005,1096203600,Ingen,0,7,Weekend,15,Eftermiddag,0,0,14.757142857142856,5.95,10.25,60,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Let overskyet,26/09/2004,2,0
12,2004-10-17,VFF - FCM,2-1,6643,Peter Rasmussen,2004/2005,FCM,5296.0526315789475,A,5132.8125,2,1,2,2004/2005,12,6643,2004,VFF-FCM,2959,4421,5690,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,12,17.1,VFF - FCM,VFF,FCM,2 - 1,6.643,Peter Rasmussen,17.1,17,10,2004,2005,2004,12708,2004/2005,1098018000,Ingen,0,7,Weekend,15,Eftermiddag,1.2000000000000002,6,8.82857142857143,4.35,8.399999999999999,94.28571428571429,Let regn før kamp,Våd dag,Koldt,Mellem vind,Mellem vindstød,Overskyet,17/10/2004,2,1
14,2004-10-31,VFF - OB,1-0,5511,Michael Svendsen,2004/2005,OB,3524.217391304348,C,5132.8125,1,0,2,2004/2005,14,5511,2004,VFF-OB,2210,3286,4749,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,14,31.1,VFF - OB,VFF,OB,1 - 0,5.511,Michael Svendsen,31.1,31,10,2004,2005,2004,12722,2004/2005,1099231200,Ingen,0,7,Weekend,15,Eftermiddag,0,0,10.071428571428571,3.5999999999999996,7.3,4.285714285714286,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,Solrigt,31/10/2004,1,0
14,2004-10-31,VFF - OB,1-0,5511,Michael Svendsen,2004/2005,OB,3524.217391304348,C,5132.8125,1,0,2,2004/2005,14,5511,2004,VFF-OB,2657,3373,4718,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,14,31.1,VFF - OB,VFF,OB,1 - 0,5.511,Michael Svendsen,31.1,31,10,2004,2005,2004,12722,2004/2005,1099231200,Ingen,0,7,Weekend,15,Eftermiddag,0,0,10.071428571428571,3.5999999999999996,7.3,4.285714285714286,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,Solrigt,31/10/2004,1,0
